X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-80.0739073331642,43.9192114739228,"1614955151",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,73394075,2,2019/08/15 22:47:58+00,77319c5bb3fb48e694899e0efa18e99e
-79.3795299386075,45.841927860992,"1615066489",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,10564174,1,2012/02/02 01:54:56+00,1e559cfef3f140bf836fe28e0a3abdfe
-71.2495779734907,46.8420616606167,"1615218046",node,15.625,pharmacy,pharmacy,Jean Coutu,,,,,,,,,,,yes,,,,,,,,,,,,,85627194,6,2020/05/22 18:51:06+00,b8c3ce261ef842899ea8a184bcbd77f8
-71.320500357546,46.8110629519291,"1615232770",node,12.5,pharmacy,pharmacy,Clinique médicale Les Saules,,,,,,,,,,,,,,,,,,,,,,,,129168312,4,2022/11/20 20:00:41+00,fbea95346da341b98638c8088946cca6
-80.5090814128786,43.4398742360345,"1616131240",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,79179710,2,2020/01/04 03:02:00+00,a0bfe7aa3b794d70824e980784ed8019
-80.5123673703797,43.4380271998512,"1616144207",node,18.75,,physiotherapist,Activaclinics,,,"chiropractic;general",,,,,,,,,,,,,,,,,"370",Highland Road West,,,111517712,3,2021/09/21 23:42:50+00,2e721702089a47989d925c5da7f052d7
-80.511908461181,43.4375762534604,"1616144221",node,12.5,pharmacy,pharmacy,,Food Basics,,,,,,,,,,,,,,,,,,,,,,,73169748,2,2019/08/08 19:59:22+00,1ee29f7c11c549ebb5c83aa035e875b4
-80.5151241783335,43.4346732651153,"1616159706",node,12.5,dentist,dentist,Dr. Michael C. Bensky,,,,,,,,,,,,,,,,,,,,,,,,71198245,2,2019/06/13 00:48:25+00,74435365cf1b4df7a6e3ebd0d486b55d
-80.5114618733799,43.4370329384967,"1616159705",node,12.5,dentist,dentist,Denture Clinic,,,,,,,,,,,,,,,,,,,,,,,,124454779,2,2022/08/03 22:00:15+00,73df60e936a64681a67715621810054c
-79.9851499355363,43.4879318778798,"1616709298",node,12.5,pharmacy,pharmacy,Campbellville Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,143486494,5,2023/11/01 17:08:57+00,687c1613169d47e2842707fa01a460ea
,,"42851384",way,25,pharmacy,pharmacy,London Drugs,,Bing,,,,Mo-Su 09:00-22:00,,,,,,yes,,,,,,,,"999",,,,142004853,15,2023/10/01 20:53:46+00,10e0135f4e1a497d8c033df3cbdfa2c9
-79.7856363324875,43.3398839985067,"1619221692",node,21.875,pharmacy,pharmacy,Shoppers Drug Mart,Loblaw Companies Limited,,,,,24/7,,,,,yes,,,,,,,,,,,,,112381173,8,2021/10/11 15:53:01+00,55c7116c357d4190a99af72b44f9c9af
-79.4792510332244,44.0555899838787,"1619621841",node,28.125,pharmacy,pharmacy,Shoppers Drug Mart,Loblaw Companies Limited,,,,,,,,,,yes,,,,,,,,,"17600",Yonge Street,,Newmarket,89598785,6,2020/08/18 23:16:32+00,7931f906d3d34078b84684522cd9dfc5
-79.7980994681352,43.2354346723096,"1620615985",node,12.5,pharmacy,pharmacy,Rexall,,,,,,,,,,,,,,,,,,,,,,,,114044506,5,2021/11/21 00:57:38+00,5d3cd9e49760434d907ec3cf0da4d0dd
-79.8105661241823,43.3737286985978,"1620987830",node,21.875,pharmacy,pharmacy,Shoppers Drug Mart,Loblaw Companies Limited,,,,,,,,,,yes,yes,,,,,,,,,,,,72726274,8,2019/07/27 22:27:12+00,4f9a603ff974432a97570ffc15e445d2
,,"405235868",way,31.25,hospital,hospital,Hamilton General Hospital,Hamilton Health Sciences,,,,,,,,,,,,yes,,,,,,,"237",Barton Street East,L8L 2X2,Hamilton,120142608,6,2022/04/25 01:06:28+00,6dc5f10f327340078ace402b01156707
-80.4850814257029,43.4581155204539,"1623082996",node,12.5,dentist,dentist,Ostner Dental Arts Inc.,,,,,,,,,,,,,,,,,,,,,,,,135305234,4,2023/04/24 14:32:40+00,670e582359fe427ab05a0e879674de37
-71.2992018577631,46.8122553614746,"1626373315",node,12.5,pharmacy,pharmacy,Familiprix,,,,,,,,,,,,,,,,,,,,,,,,135192034,4,2023/04/21 12:44:07+00,838278cf25ce4ec2b20b3185ee8a1db3
-71.3157681026523,46.7727100452161,"1626426312",node,25,pharmacy,pharmacy,Familiprix,Hébert & Ferlatte,,,,,,,,,,,,,,,,,,,"3207",Chemin Sainte-Foy,,Québec,103557956,4,2021/04/25 02:05:11+00,8ce2efbcceaf49ffb6db22def53f34a7
-71.3341519632447,46.7614146763185,"1626436415",node,12.5,pharmacy,,Pharmacie Brunet,,,,,,,,,,,,yes,,,,,,,,,,,,139832865,4,2023/08/13 16:29:55+00,95a075159e7f481ea605e3cfb81a0e53
,,"43048489",way,25,doctors,doctor,Moncton Medical Center,,,,,,,,,,,,,,,,,,,,"860",Mountain Road,E1C 2N7,Moncton,138011367,8,2023/07/02 05:31:24+00,f3e81111e81446228319da5319eb4cde
,,"406035514",way,21.875,pharmacy,,Pharmacie Jean Coutu,,,,,,,,,,,,,,,,,,,,"240",Rue Lafontaine,G5R 3A7,Rivière-du-Loup,133070778,3,2023/02/27 05:17:23+00,29eef63f8a8f44f9937e5043c738bb3e
,,"406228670",way,12.5,hospital,hospital,Dr. Helmcken Memorial Hospital,,,,,,,,,,,,,,,,,,,,,,,,87924986,3,2020/07/13 12:45:39+00,da83b33fdbaa41c6845c1024bc6b1ef3
,,"406228673",way,18.75,hospital,hospital,Dr. Helmcken Memorial Hospital,,,,,,,,,,,,,,,,,,,,"640",Park Drive,,,87924986,4,2020/07/13 12:45:39+00,eb025973d6c24a37933c9308e3e51aff
,,"406281340",way,12.5,hospital,,Hospital de Thetford Mines,,Bing,,,,,,,,,,,,,,,,,,,,,,144809484,3,2023/12/05 23:12:53+00,60454ee8e95c460cb2fac3920aed3b84
-79.79748356589,43.3252653726389,"1632157317",node,15.625,pharmacy,pharmacy,Pharmasave,,,,,,,,,,,yes,,,,,,,,,,,,,72726274,2,2019/07/27 22:27:12+00,dba307b11ce648528d8a3bd7057aa910
,,"406672751",way,34.375,clinic,clinic,Owen Sound Family Health Tam,OSFHT,,"paediatrics;general;vaccination;internal",government,,,,,,,,,,,,,,,,"1415",1st Avenue W,N4K 4K8,Owen Sound,141066593,5,2023/09/10 14:46:11+00,f577e394e1c04d69be09fbab3e7218b8
,,"43250611",way,12.5,doctors,,Health Services,,CanVec_Import_2009,,,,,,,,,,,,,,,,,,,,,,140918562,13,2023/09/07 02:11:07+00,39c40f7d5d3e4b9198beb1fb58d09298
-119.27821105778,50.2647049522558,"1633311976",node,15.625,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,yes,,,,,,,,,,,,,113713102,2,2021/11/12 21:30:25+00,37742878b5c748c9bb273fbf995a34e8
-52.9074764417909,47.0171680836336,"1634364849",node,9.375,doctors,,,,NRCan-CanVec-8.0,,,,,,,,,,,,,,,,,,,,,,10695089,1,2012/02/15 18:41:18+00,a1d7a64e6295489ca59557c5edf336ea
-65.0684928436972,44.9430499662744,"1634758307",node,12.5,pharmacy,,Middleton Pharmasave,,,,,,,,,,,yes,,,,,,,,,,,,,145592581,2,2023/12/27 21:01:43+00,f26bea766fda4071b6f3bbb9c808c713
,,"407225573",way,15.625,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,yes,,,,,,,,,,,,,78421584,5,2019/12/15 03:11:30+00,5f899fcf839c4dcc8895f2bb5f4cbf9e
,,"407269781",way,21.875,clinic,,CLSC Rivières et Marées,,,,,,,,,,,,,,,,,,,,"22",Rue Saint-Laurent,G5R 4W5,Rivière-du-Loup,133070778,4,2023/02/27 05:17:23+00,eaff52e42d14422b8d92aec0e052e0c0
,,"407408952",way,12.5,hospital,hospital,Claresholm General Hospital,,,,,,,,,,,,,,,,,,,,,,,,113378851,5,2021/11/04 17:32:45+00,9bb84a2482004e8284e0d3ccfd0dbdb8
,,"407414651",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,113378851,6,2021/11/04 17:32:45+00,6d93ca2e45b442adba5a267baabaa521
-79.8017045246901,43.3209044360557,"1635975367",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,10707144,1,2012/02/17 00:36:03+00,6140f54e88aa4543a48f63f7b1fc2ab0
,,"408281430",way,15.625,clinic,,Clinique Médicale St-Jacques,,,,,,,,,,,,,,,,,,,,"160",Rue Principale,,,56268807,2,2018/02/11 17:08:14+00,e677ba48a45a449d9f11daa33b7588b1
,,"408288164",way,15.625,clinic,,Clinique Médicale Dr Yen Tran Huu,,,,,,,,,,,,,,,,,,,,"118",Rue Principale,,,56268807,2,2018/02/11 17:08:15+00,56dab97921c64d798553c37b4c5b0187
,,"409105303",way,34.375,hospital,hospital,St. Peter's Hospital,Hamilton Health Sciences,,,,,,,,,,,yes,no,,,,,,,"88",Maplewood Avenue,L8M 1W9,Hamilton,75125394,4,2019/10/01 03:05:18+00,15b396fca46b40278f64c74fd4d6b259
,,"43805041",way,18.75,pharmacy,pharmacy,Shoppers Drug Mart,Loblaw Companies Limited,,,,,,,,,,yes,,,,,,,,,,,,,74017767,10,2019/09/03 02:49:08+00,02367bd8abff420f85638c619f866008
-79.2722993292994,43.7733671968939,"1647928669",node,9.375,clinic,,BioMedNova Laser Rehab Clinic,,,,,,,,,,,,,,,,,,,,,,,,128389666,3,2022/11/02 12:21:28+00,a5d6eba95bbe4859be59a055b7079883
-79.3770146132842,43.6721602423015,"1647954688",node,9.375,dentist,,Bloor East Dental,,,,,,,,,,,,,,,,,,,,,,,,132134169,4,2023/02/06 02:42:17+00,3e4f6cd3535745af9ebbb4b13e12ca1c
,,"43805626",way,34.375,hospital,hospital,Toronto Western Hospital,University Health Network,,,,,,,,,,,yes,yes,,,,,,,"399",Bathurst Street,M5T 2S8,Toronto,124204837,12,2022/07/28 21:52:41+00,0474576ed0474b41a2eb24976155766f
,,"43806455",way,21.875,clinic,,Bellwood Health Sciences,,,,,,,,,,,,,no,,,,,,,"175",Brentcliffe Road,,North York,133838022,8,2023/03/18 20:52:50+00,b79f7c6a03c340af9ec75cfb89717bf1
-76.1401002143728,45.1355383609974,"1648586101",node,12.5,pharmacy,pharmacy,I.D.A.,,,,,,,,,,,,,,,,,,,,,,,,86378663,5,2020/06/09 03:18:37+00,8be8a401361e4d07b1ac81338727b34f
,,"43809864",way,15.625,hospital,hospital,Mount Sinai Hospital,,CanVec_Import_2009,,,,,,,,,,,,,,,,,,,,,,111426847,5,2021/09/19 23:48:01+00,30f4d013a8cb4effa85871fb7b512853
,,"409619859",way,15.625,clinic,,Dispensaire de Matimekush,,,,,,,,,,,,,,,,,,,,,Rue Gagnon,G0G 2T0,,88431027,2,2020/07/24 02:47:38+00,5c61a4e00ae944279c32090865ee805e
-73.5836113645478,45.477998617148,"1649132099",node,28.125,pharmacy,pharmacy,Pharmacy Matthieu Omiccioli and Suzanne Paquette,,,,,,,,,,,yes,,,,,,,,,"3966",Rue Notre-Dame Ouest,H4C 1R1,Montréal,92858506,2,2020/10/22 00:39:46+00,8acf1ffc3cbc444eb160827b41962473
,,"410941078",way,25,dentist,dentist,Chapman Mills Dental,,,,,,"Mo,Th 08:00-20:00; Tu 08:00-16:00; We 08:00-17:00",,,,,,,,,,,,,,"50",Marketplace Avenue,K2J 5G3,,140270680,15,2023/08/23 11:17:07+00,595b2880df674ce88cd6757eb53488ae
-56.2215565691554,49.9267771264273,"1656200089",node,9.375,hospital,,Baie Verte Health Center,,,,,,,,,,,,,,,,,,,,,,,,10850394,1,2012/03/02 17:05:59+00,f4688c50e1a54584b0fee560b0e76141
-56.1987041483431,49.9362524488697,"1656200254",node,9.375,pharmacy,,Shopper's Drug Mart,,,,,,,,,,,,,,,,,,,,,,,,10850394,1,2012/03/02 17:06:02+00,8c7801bcd0604c2cab638e19911f0fed
-73.5849121521013,45.6067134692133,"1656963712",node,9.375,pharmacy,,Brunet Geneviève Deschênes,,,,,,,,,,,,,,,,,,,,,,,,134274820,3,2023/03/29 18:39:44+00,6c48524bfaf947b3ad6e2b411898760d
-114.060616477688,50.9786185514532,"1659972792",node,12.5,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,,,,,,,,,,,,,,73941335,3,2019/08/31 02:59:51+00,5b47ae06a8fe4c048cc17a68d8084b21
,,"412293229",way,21.875,dentist,,Centre Dentaire Ricard & Tran,,,,,,,,,,,,,,,,,,,,"337",Boulevard Saint-Joseph,J8Y 3Z2,Gatineau,131443878,5,2023/01/19 02:50:41+00,7a6693d544934f19a336687fb18e2d33
,,"413212555",way,25,pharmacy,pharmacy,Brechin Pharmacy,,,,,,,,,,,yes,,,,,,,,,"2280",Highway 12,,Brechin,109369974,2,2021/08/09 01:56:16+00,dd90197496fa4d318bcceed6fb987986
-73.6363112396467,45.4323300691642,"1667757369",node,12.5,pharmacy,pharmacy,Uniprix,,,,,,,,,,,,,,,,,,,,,,,,83640566,4,2020/04/16 09:53:34+00,4e72aca7cda145f68234b4ab1b5d0f92
,,"413956335",way,28.125,dentist,dentist,Clinique Dentaire de Hull,,Bing,,,,,,,,,,,,,,,,,,"600",Boulevard Saint-Joseph,J8Y 4A7,Gatineau,73934573,3,2019/08/30 18:38:25+00,5a3bfdb14e1b4ba198ba5b5671498aa9
,,"414029959",way,25,hospital,,Lynn Lake Hospital,,,,,,,,,,,,,yes,,,,,,,"640",Camp Street,R0B 0W0,Lynn Lake,63929243,3,2018/10/27 14:21:00+00,7dc93b836f574d44b11e80b895bdcd74
-73.7305815826299,45.613717136048,"1669510553",node,21.875,pharmacy,,Familiprix Extra,,,,,,"Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00",,,,,,,,,,,,,,"76",Boulevard Bellerose Est,H7K 1S7,,140341859,3,2023/08/24 20:33:57+00,b26529cb1bc844719afb3322b4825d1e
-120.333282868289,50.6715772844477,"1669861114",node,21.875,pharmacy,pharmacy,Columbia Street Pharmacy,,,,,,,,,,,yes,,,,,,,,,"300",Columbia Street,,,82168098,3,2020/03/13 14:30:31+00,cff5fa2ae5f44e27a4e849b385bbacd6
-120.334693374955,50.6755551680558,"1669861137",node,12.5,dentist,dentist,Kamloops Dental Centre,,,,,,,,,,,,,,,,,,,,,,,,82168502,2,2020/03/13 14:40:54+00,6434479de1ce49059389f3d51d78919d
,,"414195620",way,28.125,,alternative,Sante Chiro Plus,,Bing,chiropractic,,,,,,,,,,,,,,,,,"1",Rue Isabelle,J8Y 5G2,Gatineau,73961719,2,2019/09/01 03:07:54+00,32d04941f8314db99d49fc054269ad6a
,,"414216833",way,12.5,pharmacy,pharmacy,Pharmasave,,,,,,,,,,,,,,,,,,,,,,,,70620180,2,2019/05/25 21:49:40+00,4aa705d0ee1d481eb1a61328fafbf048
,,"414889127",way,12.5,pharmacy,pharmacy,Brunet,,,,,,,,,,,,,,,,,,,,,,,,119487314,3,2022/04/08 22:49:01+00,47cca0ba8a67413f84dae92df29bc059
-71.3897181139529,46.8438899213369,"1675745306",node,31.25,pharmacy,pharmacy,Uniprix,"G. Ouellet, J. Boudreau et D. Mercier",,,,,"Mo-Fr 08:30-21:00, Sa-Su 09:00-18:00",,,,,,,,,,,,,,"4770",Route Sainte-Geneviève,,Québec,74699225,7,2019/09/20 00:16:49+00,21caf3a118b245cf93233b910c1200b2
,,"415678539",way,15.625,hospital,hospital,Little Grand Rapids Nursing Station,,,,,,,,,,,,,yes,,,,,,,,,,,92539997,3,2020/10/15 19:09:40+00,6603f0c3b9c641cda48992db6646c42c
,,"415817797",way,9.375,hospital,,Rockyview General Hospital,,,,,,,,,,,,,,,,,,,,,,,,67335376,4,2019/02/19 01:11:53+00,189d663b1e784e5d965d8d7d3cd6bc5e
-122.996012257019,49.227543676267,"1677919488",node,25,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,yes,,,,,,,,,"4827",Kingsway,V5H 4T6,,71917254,6,2019/07/05 05:09:00+00,d254237877d048f099382957ac5329b8
,,"416292136",way,25,dentist,dentist,Scottsdale Dental Centre,,,,,,,,,,,,,,,,,,,,"630",Scottsdale Drive,N1G 3M2,Guelph,113433250,3,2021/11/06 04:15:37+00,21a97b70f6f6407ca84fefcf1f544e02
,,"416560157",way,9.375,clinic,,Sioux Narrows Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,130876937,4,2023/01/04 17:54:28+00,d968ef551bce42ea847608c299178b4b
,,"416980104",way,34.375,pharmacy,pharmacy,Jean Coutu,,,,,,Mo-Su 09:00-21:00,,,,,yes,yes,,,,,,,,"535",Chemin Vanier,J9J 1Z4,Gatineau,139184341,6,2023/07/29 18:29:18+00,9c8e77081ceb4df98cd4aa91cbc06270
-79.3859680784351,43.7090814361334,"1680979874",node,9.375,clinic,,The Doctor's Office Therapy Centre,,,,,,,,,,,,,,,,,,,,,,,,137652274,3,2023/06/22 15:17:40+00,7110479800bf4922b1a2aeb30557622f
,,"417292964",way,12.5,hospital,,Fort McKay Health Centre,,Bing,,,,,,,,,,,,,,,,,,,,,,128573096,2,2022/11/06 22:55:42+00,1cbb4452602343e998d03f8afd4e5aea
,,"44661209",way,12.5,hospital,,Maison de naissances de l'Estrie,CIUSSS de l'Estrie - CHUS,,,,,,,,,,,,,,,,,,,,,,,101450630,3,2021/03/21 17:41:37+00,5a6895a34eaa46348dd994bce857d11a
,,"44665151",way,21.875,clinic,,Clinique familiale St-Vincent,,,,,,,,,,,,,,,,,,,,"250",rue King Est,J1G 1A9,,89654804,7,2020/08/19 21:29:25+00,46b83c118f814cdab5a5d8daed7b6037
-123.13046686874,49.2106080409049,"1682764810",node,18.75,dentist,dentist,Love My Smile,,,,,,,,,,,,,,,,,,,,"8307",Oak Street,,,96129693,3,2020/12/20 06:35:58+00,b32509d7a4544d07b2b2f38b9c7c5f90
,,"417416345",way,9.375,clinic,,CLSC,,,,,,,,,,,,,,,,,,,,,,,,50444107,2,2017/07/20 22:59:17+00,d20be8aeefd649f79d10fc40e22fcf37
,,"417422869",way,28.125,dentist,dentist,Eagle Ridge Dental Clinic,,,,,,Mo-Fr 09:00-20:00,,,,,,,,,,,,,,"395",Loutit Road,t9k0l7,Fort McMurray,119285370,2,2022/04/04 05:10:50+00,16f91fe52ac342e99b535d2f2d231a71
-75.7570065032938,45.3903509835002,"1683695246",node,31.25,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,Mo-Su 08:00-22:00,,,,,yes,yes,,,,,,,,"410",Richmond Road,K2A 4C4,,134973584,7,2023/04/16 12:47:28+00,bbb1642bb7394dc5924910cb7226647c
-114.473841119019,51.1897670742972,"196745632",node,12.5,pharmacy,pharmacy,Shoppers Drug Mart,,,,,,,,,,,,,,,,,,,,,,,,122879255,4,2022/06/26 19:31:24+00,de2e6f53b7684f22a98edb0584ee2be9
,,"417698062",way,15.625,hospital,hospital,Hopital Honoré-Mercier,,Bing,,,,,,,,,,,,,,,,,,,,,,110004111,5,2021/08/20 19:49:47+00,cd4a327cf6aa4c04bd9b1363f4804ec4
-114.471166034621,51.1904789493337,"196745643",node,9.375,pharmacy,,Super Drug Mart,,,,,,,,,,,,,,,,,,,,,,,,67505483,3,2019/02/23 23:12:35+00,7f8211f5dac64cd598d4301ddce43263
-123.160902313534,49.2344727441634,"1686633972",node,12.5,doctors,doctor,Dr. Timothy W.T. Kam Inc.,,,,,,,,,,,,,,,,,,,,,,,,78899365,2,2019/12/26 22:15:17+00,86881ca604674acb857b4345d118c9c1
-123.1278092187,49.2494619339706,"1686645776",node,12.5,doctors,doctor,Westcoast Women's Clinic,,,,,,,,,,,,,,,,,,,,,,,,76831153,2,2019/11/08 21:37:11+00,76d9d82e16e443d0971321daa5ab95f7
,,"417981061",way,25,clinic,clinic,Southern Alberta Eye Center,,,ophthalmology,,,,,,,,,,,,,,,,,"5340",1 Street SW,T2H 0C8,,106113062,5,2021/06/09 19:05:21+00,0e931a10fc45436e9c50a3aa45cc8c10
-120.335143231698,50.6764300711091,"1687742374",node,12.5,dentist,dentist,Orthodontists,,,,,,,,,,,,,,,,,,,,,,,,82168098,2,2020/03/13 14:30:31+00,60ff0bd976384349af00eb12c582ccea
-120.334968552836,50.6765183325495,"1687742384",node,15.625,pharmacy,pharmacy,Pharmasave,,,,,,,,,,,yes,,,,,,,,,,,,,74888936,3,2019/09/25 06:19:45+00,0b486fb29b184de3b321fac49bdc0ff6
-63.5869350475702,44.6411387592873,"1689418187",node,31.25,pharmacy,pharmacy,Lawtons Drugs Spring Garden,Lawtons Drugs,,,,,,,,,,,yes,,,,,,,,"5991",Spring Garden Road,B3H 1Y6,Halifax,100975051,4,2021/03/14 01:34:31+00,d6844e63a12347ffb7b88ee8a8ac0da8
-79.3889940292997,43.704843964984,"1689646357",node,15.625,dentist,dentist,Norton Dental,,,,,,"Mo-Fr 10:00-18:00; Sa 10:00-17:00; Su off",,,,,,,,,,,,,,,,,,112019080,3,2021/10/03 02:15:38+00,3b2f889b930e4878bab8478600915036
,,"418467873",way,12.5,clinic,clinic,Blood Tribe Clinic,,,,,,,,,,,,,,,,,,,,,,,,77701209,2,2019/11/28 23:45:21+00,d79cd03992b848f2b8cdc82c046c6d6e
-75.412168804127,45.5793984393325,"1691666915",node,9.375,pharmacy,,Jean Coutu,,,,,,,,,,,,,,,,,,,,,,,,132707377,3,2023/02/18 09:21:54+00,69433e8928994569944b2e93bec56da8
