agency,lat,lon,date,hectares,cause,response_type,biome
BC,55.318,-127.575,1950-08-03,0.1,H, ,Montane Cordillera
BC,55.184,-126.773,1951-05-06,1.2,H, ,Montane Cordillera
BC,55.347,-127.575,1951-08-15,8.0,H, ,Montane Cordillera
BC,55.376,-126.928,1951-09-01,8.0,L, ,Montane Cordillera
BC,55.684,-127.273,1951-09-03,0.8,H, ,Montane Cordillera
BC,55.434,-125.523,1951-09-01,0.1,H, ,Montane Cordillera
BC,55.655,-124.023,1952-05-28,3.6,H, ,Montane Cordillera
BC,55.289,-125.678,1952-08-01,1.6,L, ,Montane Cordillera
BC,55.376,-124.575,1952-08-01,129.4,L, ,Montane Cordillera
BC,55.934,-126.523,1952-08-01,2747.8,L, ,Montane Cordillera
BC,55.405,-129.825,1951-06-07,3.2,H, ,Pacific Maritime
BC,55.434,-129.825,1951-07-15,0.1,H, ,Pacific Maritime
BC,55.463,-129.48,1953-07-25,0.1,H, ,Pacific Maritime
BC,55.405,-130.023,1953-03-01,0.2,L, ,Pacific Maritime
BC,55.597,-121.678,1950-06-17,1.6,H, ,Montane Cordillera
BC,55.539,-121.73,1950-06-19,647.4,L, ,Montane Cordillera
BC,55.242,-121.376,1950-06-19,388.4,L, ,Montane Cordillera
BC,55.51,-122.575,1952-08-24,0.1,H, ,Montane Cordillera
BC,55.713,-121.773,1952-10-24,0.1,H, ,Montane Cordillera
BC,55.626,-121.825,1952-10-26,1.2,H, ,Montane Cordillera
BC,53.818,-120.932,1950-06-29,0.1,L, ,Montane Cordillera
BC,55.289,-122.678,1950-06-13,3.2,H, ,Montane Cordillera
BC,54.26,-121.579,1952-06-25,0.1,L, ,Montane Cordillera
BC,54.376,-121.579,1952-07-31,18.2,L, ,Montane Cordillera
BC,54.789,-120.481,1950-09-21,938.8,H, ,Boreal PLain
BC,55.376,-120.126,1950-05-16,32.3,H, ,Boreal PLain
BC,55.539,-120.876,1950-06-02,1424.4,H, ,Boreal PLain
BC,55.568,-121.126,1950-06-11,489.6,H, ,Boreal PLain
BC,55.51,-121.178,1950-06-10,194.2,H, ,Boreal PLain
BC,55.597,-121.376,1952-05-08,1659.2,H, ,Boreal PLain
BC,55.51,-120.876,1952-05-12,117.3,H, ,Boreal PLain
BC,55.597,-121.575,1952-05-14,60.7,H, ,Boreal PLain
BC,54.934,-120.379,1952-05-23,71.6,H, ,Boreal PLain
BC,54.597,-125.129,1950-07-24,1.2,L, ,Montane Cordillera
BC,54.818,-124.981,1950-08-26,0.1,H, ,Montane Cordillera
BC,54.655,-125.028,1950-03-01,8.0,H, ,Montane Cordillera
BC,55.434,-126.678,1950-05-23,1.6,H, ,Montane Cordillera
BC,54.713,-126.278,1950-07-26,0.2,H, ,Montane Cordillera
BC,55.347,-126.626,1950-09-13,0.1,H, ,Montane Cordillera
BC,54.347,-125.579,1950-10-01,0.1,H, ,Montane Cordillera
BC,54.568,-125.079,1950-06-02,8.0,H, ,Montane Cordillera
BC,55.26,-124.126,1950-06-27,0.1,H, ,Montane Cordillera
BC,54.597,-124.778,1950-06-26,0.1,L, ,Montane Cordillera
BC,54.51,-125.731,1951-06-14,0.1,H, ,Montane Cordillera
BC,54.626,-125.879,1951-08-05,0.1,H, ,Montane Cordillera
BC,54.51,-125.731,1951-08-27,0.2,H, ,Montane Cordillera
BC,54.51,-125.731,1951-09-02,0.1,H, ,Montane Cordillera
BC,54.51,-125.731,1951-09-04,0.1,H, ,Montane Cordillera
BC,54.213,-125.481,1951-04-01,3.2,H, ,Montane Cordillera
BC,54.347,-125.43,1951-09-18,0.8,H, ,Montane Cordillera
BC,54.713,-125.981,1951-07-15,0.2,H, ,Montane Cordillera
BC,54.097,-124.579,1951-07-20,0.2,L, ,Montane Cordillera
BC,54.847,-124.18,1951-08-08,7.6,L, ,Montane Cordillera
BC,54.963,-124.278,1951-08-19,0.1,H, ,Montane Cordillera
BC,54.51,-124.68,1951-08-29,0.1,H, ,Montane Cordillera
BC,54.597,-124.579,1951-09-05,0.1,H, ,Montane Cordillera
BC,54.76,-124.43,1950-12-31,4.0,L, ,Montane Cordillera
BC,55.26,-126.626,1952-07-23,1440.6,L, ,Montane Cordillera
BC,54.876,-126.231,1952-07-24,0.1,L, ,Montane Cordillera
BC,55.347,-126.376,1952-07-28,0.1,H, ,Montane Cordillera
BC,55.039,-126.178,1952-08-06,6.0,L, ,Montane Cordillera
BC,54.242,-125.481,1952-08-09,6276.6,L, ,Montane Cordillera
BC,54.51,-125.731,1952-08-13,0.1,H, ,Montane Cordillera
BC,55.434,-126.678,1952-08-14,0.1,H, ,Montane Cordillera
BC,55.434,-126.575,1952-08-06,16.1,L, ,Montane Cordillera
BC,55.539,-126.825,1952-08-12,4.0,L, ,Montane Cordillera
BC,54.184,-124.43,1952-05-15,0.1,L, ,Montane Cordillera
BC,54.568,-125.079,1952-05-10,20.2,H, ,Montane Cordillera
BC,54.568,-125.028,1952-05-10,32.3,H, ,Montane Cordillera
BC,54.568,-124.977,1952-05-01,0.1,H, ,Montane Cordillera
BC,54.568,-124.977,1952-05-06,40.4,H, ,Montane Cordillera
BC,54.568,-125.079,1952-05-30,56.2,H, ,Montane Cordillera
BC,54.463,-124.528,1952-08-03,0.8,H, ,Montane Cordillera
BC,55.01,-124.928,1952-08-01,206.7,L, ,Montane Cordillera
BC,54.568,-124.731,1952-08-10,0.4,H, ,Montane Cordillera
BC,55.097,-125.48,1952-08-10,16.9,L, ,Montane Cordillera
BC,54.463,-125.731,1952-05-14,12.1,H, ,Montane Cordillera
BC,54.463,-125.629,1952-05-07,0.8,H, ,Montane Cordillera
BC,54.789,-126.129,1952-04-01,309.1,H, ,Montane Cordillera
BC,54.655,-125.129,1952-09-08,0.2,H, ,Montane Cordillera
BC,54.213,-125.528,1953-05-17,0.1,H, ,Montane Cordillera
BC,54.818,-125.981,1953-08-29,0.1,H, ,Montane Cordillera
BC,55.242,-124.023,1953-05-20,16.1,L, ,Montane Cordillera
BC,54.597,-125.129,1953-05-01,138.4,H, ,Montane Cordillera
BC,55.155,-127.376,1950-04-18,1.1,H, ,Pacific Maritime
BC,55.318,-127.678,1950-05-04,0.1,H, ,Pacific Maritime
BC,55.039,-127.325,1950-05-03,0.1,H, ,Pacific Maritime
BC,55.126,-127.376,1950-04-29,0.1,H, ,Pacific Maritime
BC,55.26,-127.678,1950-05-24,0.1,H, ,Pacific Maritime
BC,55.26,-127.678,1950-06-02,0.1,H, ,Pacific Maritime
BC,55.068,-127.825,1950-06-17,0.1,L, ,Pacific Maritime
BC,54.539,-128.629,1950-07-05,0.2,H, ,Pacific Maritime
BC,55.213,-127.825,1950-07-01,0.1,L, ,Pacific Maritime
BC,55.01,-127.678,1950-08-01,0.1,H, ,Pacific Maritime
BC,54.463,-128.778,1951-04-21,10.1,H, ,Pacific Maritime
BC,54.539,-128.68,1951-03-01,0.1,H, ,Pacific Maritime
BC,54.539,-128.68,1951-03-01,0.1,H, ,Pacific Maritime
BC,55.184,-127.428,1951-05-04,0.1,H, ,Pacific Maritime
BC,55.213,-127.428,1951-05-04,0.1,H, ,Pacific Maritime
BC,54.51,-128.579,1951-06-01,0.1,H, ,Pacific Maritime
BC,55.155,-127.73,1951-03-01,0.1,H, ,Pacific Maritime
BC,54.51,-128.528,1951-06-25,0.1,H, ,Pacific Maritime
BC,54.463,-128.629,1951-06-21,0.1,H, ,Pacific Maritime
BC,54.76,-128.278,1951-06-28,4.4,H, ,Pacific Maritime
BC,55.26,-127.523,1951-07-01,0.1,H, ,Pacific Maritime
BC,55.318,-127.773,1951-07-15,0.1,L, ,Pacific Maritime
BC,55.26,-128.178,1951-07-25,0.2,L, ,Pacific Maritime
BC,54.568,-128.68,1951-07-25,0.1,L, ,Pacific Maritime
BC,54.539,-128.629,1951-08-03,0.1,H, ,Pacific Maritime
BC,54.51,-128.629,1951-08-11,0.1,H, ,Pacific Maritime
BC,55.126,-127.376,1951-04-19,2.0,H, ,Pacific Maritime
BC,55.068,-127.48,1951-09-01,3.6,H, ,Pacific Maritime
BC,54.597,-128.731,1951-03-01,0.1,H, ,Pacific Maritime
BC,54.597,-128.731,1951-03-01,0.1,H, ,Pacific Maritime
BC,55.242,-128.075,1951-09-06,0.2,H, ,Pacific Maritime
BC,55.068,-128.178,1951-09-19,8.0,H, ,Pacific Maritime
BC,55.242,-127.575,1951-09-20,0.1,H, ,Pacific Maritime
BC,54.51,-128.629,1951-09-20,0.1,H, ,Pacific Maritime
BC,55.184,-128.023,1952-06-07,0.8,H, ,Pacific Maritime
BC,54.539,-128.481,1952-07-10,0.6,H, ,Pacific Maritime
BC,55.213,-127.678,1952-07-16,0.1,H, ,Pacific Maritime
BC,54.51,-128.629,1952-07-22,0.1,H, ,Pacific Maritime
BC,54.51,-128.731,1952-07-22,0.1,L, ,Pacific Maritime
BC,54.51,-128.579,1952-07-28,0.1,H, ,Pacific Maritime
BC,55.097,-127.73,1952-07-28,0.1,H, ,Pacific Maritime
BC,55.097,-127.325,1952-08-07,0.1,H, ,Pacific Maritime
BC,55.068,-128.23,1952-08-16,0.2,H, ,Pacific Maritime
BC,55.039,-128.273,1952-07-29,0.1,H, ,Pacific Maritime
BC,55.26,-127.678,1952-09-09,0.1,H, ,Pacific Maritime
BC,54.76,-128.231,1952-05-09,2.4,H, ,Pacific Maritime
BC,54.51,-128.731,1952-05-14,0.8,H, ,Pacific Maritime
BC,54.463,-128.481,1952-05-17,0.1,H, ,Pacific Maritime
BC,55.213,-127.626,1953-05-23,0.1,L, ,Pacific Maritime
BC,55.068,-127.825,1953-05-26,0.1,H, ,Pacific Maritime
BC,55.184,-127.48,1953-05-23,0.1,L, ,Pacific Maritime
BC,54.597,-128.731,1953-05-30,20.2,H, ,Pacific Maritime
BC,54.51,-128.68,1953-07-09,0.1,H, ,Pacific Maritime
BC,55.184,-127.73,1953-07-26,0.1,L, ,Pacific Maritime
BC,55.097,-127.73,1953-07-25,0.2,H, ,Pacific Maritime
BC,54.51,-128.629,1953-08-13,0.1,H, ,Pacific Maritime
BC,54.51,-128.629,1953-08-13,0.1,H, ,Pacific Maritime
BC,55.242,-128.023,1953-08-29,0.1,H, ,Pacific Maritime
BC,54.126,-122.379,1950-07-07,0.1,H, ,Montane Cordillera
BC,54.934,-122.731,1950-07-06,0.8,L, ,Montane Cordillera
BC,53.992,-121.682,1950-09-08,0.1,H, ,Montane Cordillera
BC,54.039,-122.379,1951-06-09,12.1,H, ,Montane Cordillera
BC,53.905,-122.182,1951-07-02,0.1,L, ,Montane Cordillera
BC,53.992,-122.481,1951-06-28,0.1,H, ,Montane Cordillera
BC,53.905,-122.132,1951-07-02,0.1,L, ,Montane Cordillera
BC,54.01,-121.629,1951-07-12,0.1,L, ,Montane Cordillera
BC,54.184,-122.231,1951-07-13,0.1,L, ,Montane Cordillera
BC,54.126,-122.18,1951-07-29,0.1,H, ,Montane Cordillera
BC,54.126,-122.028,1951-08-15,0.1,L, ,Montane Cordillera
BC,55.126,-122.928,1951-08-24,0.1,H, ,Montane Cordillera
BC,53.992,-122.481,1951-09-05,1.0,H, ,Montane Cordillera
BC,54.242,-122.231,1951-09-06,16.1,L, ,Montane Cordillera
BC,54.126,-121.93,1952-05-28,0.1,L, ,Montane Cordillera
BC,54.742,-122.778,1952-06-27,0.1,L, ,Montane Cordillera
BC,54.597,-122.629,1952-07-26,0.1,L, ,Montane Cordillera
BC,54.568,-122.579,1952-07-26,0.1,L, ,Montane Cordillera
BC,54.289,-122.231,1952-08-01,2.0,L, ,Montane Cordillera
BC,54.097,-121.68,1952-08-17,0.1,H, ,Montane Cordillera
BC,53.963,-121.981,1952-08-02,0.1,L, ,Montane Cordillera
BC,53.992,-121.731,1952-09-26,0.1,L, ,Montane Cordillera
BC,54.126,-122.379,1953-05-12,1.2,H, ,Montane Cordillera
BC,54.01,-121.68,1953-07-09,0.1,L, ,Montane Cordillera
BC,54.068,-122.981,1950-06-20,0.1,H, ,Montane Cordillera
BC,54.289,-122.68,1950-06-25,0.1,H, ,Montane Cordillera
BC,53.184,-122.382,1950-06-28,1.0,H, ,Montane Cordillera
BC,53.876,-122.783,1950-06-28,0.1,H, ,Montane Cordillera
BC,53.626,-122.533,1950-06-28,1.8,L, ,Montane Cordillera
BC,54.213,-123.481,1950-06-27,3.5,L, ,Montane Cordillera
BC,54.405,-122.629,1950-07-04,16.1,H, ,Montane Cordillera
BC,53.26,-122.481,1950-06-26,0.1,H, ,Montane Cordillera
BC,53.434,-122.583,1950-06-01,0.8,H, ,Montane Cordillera
BC,53.405,-122.583,1950-07-01,0.8,H, ,Montane Cordillera
BC,53.26,-122.481,1950-07-02,0.1,H, ,Montane Cordillera
BC,53.434,-122.583,1950-07-04,0.1,H, ,Montane Cordillera
BC,54.068,-122.68,1950-07-07,0.1,H, ,Montane Cordillera
BC,53.405,-122.583,1950-07-05,0.1,H, ,Montane Cordillera
BC,53.434,-122.583,1950-07-05,0.1,H, ,Montane Cordillera
BC,53.905,-123.583,1950-07-24,0.1,H, ,Montane Cordillera
BC,53.318,-122.533,1950-07-01,1.6,H, ,Montane Cordillera
BC,54.01,-123.028,1950-06-26,0.1,H, ,Montane Cordillera
BC,54.289,-122.731,1950-07-02,0.1,H, ,Montane Cordillera
BC,53.597,-122.682,1950-07-22,2.0,H, ,Montane Cordillera
BC,54.039,-122.778,1950-08-01,0.1,H, ,Montane Cordillera
BC,53.51,-122.682,1950-08-04,0.1,H, ,Montane Cordillera
BC,53.242,-122.432,1950-08-04,0.1,H, ,Montane Cordillera
BC,53.213,-122.382,1950-08-14,0.5,H, ,Montane Cordillera
BC,53.26,-122.481,1950-08-02,0.1,H, ,Montane Cordillera
BC,54.742,-123.18,1950-08-26,0.1,L, ,Montane Cordillera
BC,54.213,-123.93,1950-08-27,0.4,H, ,Montane Cordillera
BC,53.405,-122.632,1950-09-13,0.1,H, ,Montane Cordillera
BC,53.876,-123.481,1950-09-01,0.1,H, ,Montane Cordillera
BC,54.213,-124.028,1950-09-17,0.1,H, ,Montane Cordillera
BC,54.213,-123.93,1950-09-17,0.1,H, ,Montane Cordillera
BC,53.434,-122.583,1950-09-20,0.1,H, ,Montane Cordillera
BC,53.01,-122.481,1950-09-19,0.1,H, ,Montane Cordillera
BC,54.01,-122.481,1950-09-23,0.8,H, ,Montane Cordillera
BC,53.818,-122.783,1950-09-20,0.1,H, ,Montane Cordillera
BC,53.597,-122.682,1950-09-02,0.1,H, ,Montane Cordillera
BC,53.876,-122.682,1950-09-22,32.3,H, ,Montane Cordillera
BC,53.597,-122.632,1950-09-22,14.1,H, ,Montane Cordillera
BC,53.905,-122.783,1950-05-11,0.8,H, ,Montane Cordillera
BC,53.876,-122.533,1950-05-26,0.1,L, ,Montane Cordillera
BC,54.463,-124.278,1950-05-19,113.3,H, ,Montane Cordillera
BC,54.126,-123.028,1950-06-08,0.6,H, ,Montane Cordillera
BC,53.789,-123.731,1950-06-07,0.3,H, ,Montane Cordillera
BC,54.068,-122.481,1950-06-10,0.1,H, ,Montane Cordillera
BC,54.242,-122.629,1950-06-14,0.1,H, ,Montane Cordillera
BC,53.789,-123.731,1950-06-15,6.8,H, ,Montane Cordillera
BC,53.655,-122.682,1950-06-17,0.8,H, ,Montane Cordillera
BC,53.934,-122.533,1950-06-19,6.0,H, ,Montane Cordillera
BC,53.876,-123.731,1950-06-15,1.6,H, ,Montane Cordillera
BC,54.097,-122.93,1950-06-20,1.2,H, ,Montane Cordillera
BC,53.405,-122.583,1950-06-18,0.8,H, ,Montane Cordillera
BC,54.039,-122.829,1950-06-24,0.1,H, ,Montane Cordillera
BC,54.097,-123.18,1950-06-08,0.3,H, ,Montane Cordillera
BC,54.684,-124.028,1950-06-26,7.2,L, ,Montane Cordillera
BC,52.76,-122.539,1950-03-01,0.1,H, ,Montane Cordillera
BC,52.789,-122.481,1950-06-19,0.1,H, ,Montane Cordillera
BC,52.876,-122.481,1950-07-15,0.1,H, ,Montane Cordillera
BC,52.963,-122.231,1950-09-01,3.5,H, ,Montane Cordillera
BC,53.01,-122.583,1950-03-01,0.1,H, ,Montane Cordillera
BC,53.26,-122.833,1950-08-21,0.1,H, ,Montane Cordillera
BC,53.126,-122.382,1950-08-24,0.1,H, ,Montane Cordillera
BC,53.01,-122.481,1950-09-10,0.1,H, ,Montane Cordillera
BC,53.01,-122.083,1950-09-12,0.4,H, ,Montane Cordillera
BC,53.01,-122.481,1950-09-18,0.1,H, ,Montane Cordillera
BC,53.01,-122.481,1950-09-17,0.1,H, ,Montane Cordillera
BC,53.876,-122.583,1951-04-21,0.6,H, ,Montane Cordillera
BC,53.818,-123.731,1951-04-25,0.1,H, ,Montane Cordillera
BC,54.242,-123.829,1951-04-28,0.1,L, ,Montane Cordillera
BC,53.01,-122.481,1951-05-31,1.0,H, ,Montane Cordillera
BC,53.597,-122.682,1951-06-02,4.0,H, ,Montane Cordillera
BC,54.097,-123.18,1951-05-01,1.2,H, ,Montane Cordillera
BC,54.097,-122.879,1951-06-07,0.6,H, ,Montane Cordillera
BC,54.039,-122.778,1951-08-07,2.8,H, ,Montane Cordillera
BC,53.934,-122.533,1951-06-14,0.8,H, ,Montane Cordillera
BC,53.434,-122.632,1951-07-28,6.4,H, ,Montane Cordillera
BC,53.713,-122.833,1951-06-14,95.1,H, ,Montane Cordillera
BC,54.097,-123.18,1951-06-14,0.8,H, ,Montane Cordillera
BC,54.742,-122.981,1951-06-19,50.5,H, ,Montane Cordillera
BC,54.289,-122.629,1951-06-21,0.8,H, ,Montane Cordillera
BC,54.097,-123.18,1951-06-25,46.5,H, ,Montane Cordillera
BC,54.347,-122.629,1951-06-14,1.6,H, ,Montane Cordillera
BC,54.26,-122.629,1951-06-21,0.1,H, ,Montane Cordillera
BC,53.905,-122.283,1951-06-27,0.1,H, ,Montane Cordillera
BC,53.405,-122.632,1951-06-27,3.2,H, ,Montane Cordillera
BC,53.539,-122.682,1951-07-01,5.2,H, ,Montane Cordillera
BC,53.76,-122.632,1951-06-29,1.2,H, ,Montane Cordillera
BC,54.318,-124.278,1951-07-07,0.1,H, ,Montane Cordillera
BC,55.213,-123.23,1951-07-10,0.1,L, ,Montane Cordillera
BC,53.934,-123.083,1951-07-07,0.1,H, ,Montane Cordillera
BC,53.684,-122.632,1951-08-01,0.2,H, ,Montane Cordillera
BC,53.463,-122.484,1951-07-20,8.4,L, ,Montane Cordillera
BC,53.376,-122.731,1951-07-27,0.1,H, ,Montane Cordillera
BC,54.068,-122.481,1951-08-19,0.1,H, ,Montane Cordillera
BC,54.539,-124.278,1951-08-08,0.1,H, ,Montane Cordillera
BC,53.992,-122.632,1951-08-23,0.1,H, ,Montane Cordillera
BC,54.289,-122.68,1951-04-01,0.1,H, ,Montane Cordillera
