fire_id,agency,lat,lon,coords,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,COORDINATES,ELEVATION,CLIMATE_IDENTIFIER,fire_lat_radians,fire_lon_radians,clim_lat_radians,clim_lon_radians,distance
47,BC,59.1555,-122.0545,"59.1555,-122.0545",2001-06-13,0.2,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.0324582456635056,-2.130252891875419,1.0210682269649907,-2.135274326306454,74.38413841361252
48,BC,58.7367,-122.4292,"58.7367,-122.4292",2001-06-15,4.0,MILE 306 ALASKA HWY,BC,58.51,-122.52,"58.51,-122.52",451.1,11951B9,1.0251488067561534,-2.1367926405826414,1.0211921453418822,-2.1383773995434523,25.73401670268638
49,BC,58.4515,-121.546,"58.4515,-121.546",2001-06-21,6.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0201711277294656,-2.121377892629028,1.021541211192281,-2.117084382669122,16.739761656653013
50,BC,58.4353,-121.375,"58.4353,-121.375",2001-06-21,3.0,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0198883843906423,-2.1183933796081176,1.0210176124166828,-2.1162117180431244,10.220880977631943
51,BC,59.2367,-122.2588,"59.2367,-122.2588",2001-06-21,0.2,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.033875453016125,-2.133818599537243,1.0210682269649907,-2.135274326306454,81.68425689767797
52,BC,58.2163,-122.634,"58.2163,-122.634",2001-06-21,0.2,PROPHET RIVER,BC,58.13,-122.47,"58.13,-122.47",457.2,1196543,1.0160661133287747,-2.140367074890726,1.0145598941843037,-2.137504734917455,13.577066176547271
53,BC,59.0,-122.05,"59.0,-122.05",2001-07-01,6.0,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.0297442586766545,-2.130174352059079,1.0210682269649907,-2.135274326306454,57.75132879040159
54,BC,58.646,-120.0443,"58.646,-120.0443",2001-07-04,2.0,RAINBOW RS,AB,58.3,-119.25,"58.3,-119.25",536.4,3075349,1.0235657931245945,-2.0951682832518292,1.017526953912694,-2.081305133003238,60.07094782833036
55,BC,59.3202,-120.1935,"59.3202,-120.1935",2001-08-15,5.0,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.0353328029415403,-2.0977723144958045,1.0353293122830363,-2.0833995281056312,46.69266510793344
56,BC,58.7865,-122.6192,"58.7865,-122.6192",2001-09-16,0.04,MILE 306 ALASKA HWY,BC,58.51,-122.52,"58.51,-122.52",451.1,11951B9,1.0260179807236465,-2.140108766161431,1.0211921453418822,-2.1383773995434523,31.25680744663845
57,BC,58.0287,-122.7413,"58.0287,-122.7413",2001-10-06,0.15,PROPHET RIVER,BC,58.13,-122.47,"58.13,-122.47",457.2,1196543,1.0127918756520335,-2.142239813178116,1.0145598941843037,-2.137504734917455,19.514733294152958
58,BC,58.4053,-120.9253,"58.4053,-120.9253",2000-06-27,2.0,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.019364785615044,-2.110544633961899,1.0210176124166828,-2.1162117180431244,21.613350481093825
59,BC,58.2088,-120.8735,"58.2088,-120.8735",2000-06-28,0.6,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0159352136348752,-2.109640553409366,1.0210176124166828,-2.1162117180431244,39.102305000575846
60,BC,58.1645,-120.8813,"58.1645,-120.8813",2000-06-28,0.1,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0151620327762418,-2.1097766890910212,1.0210176124166828,-2.1162117180431244,43.04237817835706
61,BC,58.1583,-120.6728,"58.1583,-120.6728",2000-07-10,0.2,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0150538223626182,-2.1061376776006133,1.0210176124166828,-2.1162117180431244,50.7534849325171
62,BC,58.8365,-122.8764,"58.8365,-122.8764",2000-05-29,1.0,MILE 318 ALASKA HWY,BC,58.54,-123.07,"58.54,-123.07",520.9,11951K9,1.0268906453496438,-2.1445977529975604,1.0217157441174805,-2.1479767104294214,34.793870571032606
63,BC,59.5077,-123.0355,"59.5077,-123.0355",2000-06-27,0.3,FORT LIARD,NT,60.14,-123.28,"60.14,-123.28",213.4,2201579,1.0386052952890297,-2.1473745718374833,1.0496410121493898,-2.1516419018586097,71.5792618821448
64,BC,58.456,-122.5228,"58.456,-122.5228",2000-06-28,1.0,MILE 306 ALASKA HWY,BC,58.51,-122.52,"58.51,-122.52",451.1,11951B9,1.0202496675458053,-2.1384262687625086,1.0211921453418822,-2.1383773995434523,6.002960145456142
65,BC,58.4679,-121.2647,"58.4679,-121.2647",2000-06-28,0.3,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0204573617267927,-2.1164682814431677,1.0210176124166828,-2.1162117180431244,3.6678990044486484
66,BC,58.924,-122.4035,"58.924,-122.4035",2000-07-10,0.1,MILE 306 ALASKA HWY,BC,58.51,-122.52,"58.51,-122.52",451.1,11951B9,1.0284178084451387,-2.136344090964879,1.0211921453418822,-2.1383773995434523,46.49433193226271
67,BC,59.2917,-120.0077,"59.2917,-120.0077",2000-07-10,0.009,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.034835384104722,-2.094529492745599,1.0353293122830363,-2.0833995281056312,36.30944492233437
68,BC,58.7752,-122.0123,"58.7752,-122.0123",2000-06-14,6.0,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.0258207585181711,-2.1295163629310774,1.0210682269649907,-2.135274326306454,35.77212726104649
69,BC,58.5133,-121.247,"58.5133,-121.247",2000-07-26,1.5,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0212497412071981,-2.116159358165565,1.0210176124166828,-2.1162117180431244,1.4881893782879163
70,BC,58.4103,-121.5318,"58.4103,-121.5318",2000-07-25,1.0,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0194520520776438,-2.121130055875245,1.021541211192281,-2.117084382669122,18.93105586371821
71,BC,58.5535,-121.2163,"58.5535,-121.2163",2000-07-26,0.1,YOYO,BC,58.53,-121.3,"58.53,-121.3",579.1,1199020,1.0219513635664998,-2.1156235420852028,1.021541211192281,-2.117084382669122,5.511950556184073
72,BC,58.5477,-121.2008,"58.5477,-121.2008",2000-07-25,0.1,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.021850134469884,-2.1153530160511433,1.0210176124166828,-2.1162117180431244,6.020518509937673
73,BC,58.7415,-121.9782,"58.7415,-121.9782",2000-07-26,0.1,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.025232582560249,-2.1289212056561473,1.0210682269649907,-2.135274326306454,33.861502998592734
74,BC,59.4117,-120.2877,"59.4117,-120.2877",2000-08-02,0.2,PETITOT LO,AB,59.32,-119.37,"59.32,-119.37",777.2,3075171,1.036929779207115,-2.0994164146511833,1.0353293122830363,-2.0833995281056312,52.953373435749796
75,BC,58.4083,-122.11,"58.4083,-122.11",2000-08-05,10.0,FORT NELSON UA,BC,58.5029,-122.342207,"58.5029,-122.342207",378.3,1192950,1.019417145492604,-2.131221549610276,1.0210682269649907,-2.135274326306454,17.10994811953445
76,BC,58.5272,-121.0598,"58.5272,-121.0598",2000-08-05,0.4,SIERRA,BC,58.5,-121.25,"58.5,-121.25",566.3,1197331,1.0214923419732254,-2.1128921018058313,1.0210176124166828,-2.1162117180431244,11.44556972279812
77,BC,59.4583,-136.375,"59.4583,-136.375",2003-08-27,0.3,MULE CREEK,BC,59.47,-136.36,"59.47,-136.36",883.9,1205248,1.0377431026385444,-2.3801927674072667,1.0379473061610278,-2.379930968019468,1.5516667017526902
78,BC,57.4167,-125.6167,"57.4167,-125.6167",2001-05-05,0.02,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,1.0021104606298281,-2.192425010489961,0.9993755296919531,-2.18829381615049,22.46615859158867
79,BC,57.3294,-125.7583,"57.3294,-125.7583",2001-05-11,0.1,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,1.0005867881928372,-2.194896396710785,0.9993755296919531,-2.18829381615049,23.987723209024168
80,BC,57.0924,-125.1801,"57.0924,-125.1801",2000-10-20,0.03,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,0.9964503578656105,-2.1848049029757535,0.9993755296919531,-2.18829381615049,22.178016650849084
81,BC,56.9333,-125.0,"56.9333,-125.0",2000-05-04,0.1,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,0.9936735390256877,-2.181661564992912,0.9993755296919531,-2.18829381615049,42.94422715652414
82,BC,56.8412,-125.0563,"56.8412,-125.0563",2000-05-15,4.0,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,0.9920660907846008,-2.182644185361785,0.9993755296919531,-2.18829381615049,50.484241041613416
83,BC,57.788,-126.0417,"57.788,-126.0417",2000-07-10,14.0,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,1.008590868142483,-2.199842659810937,0.9993755296919531,-2.18829381615049,70.72061091335472
84,BC,59.191,-129.2325,"59.191,-129.2325",2003-05-05,0.1,GOOD HOPE LAKE,BC,59.18,-129.17,"59.18,-129.17",769.6,1193245,1.0330778375479637,-2.2555326255835717,1.0328858513302441,-2.254441794801075,3.761943844118133
85,BC,58.9758,-127.305,"58.9758,-127.305",2000-08-06,0.2,COAL RIVER,BC,59.4,-127.09,"59.4,-127.09",517.0,1191740,1.0293218889976719,-2.2218914042513815,1.0367255756846316,-2.2181389463595935,48.7018827614449
86,BC,58.7993,-125.0248,"58.7993,-125.0248",2001-05-02,45.0,TOAD RIVER,BC,58.51,-125.14,"58.51,-125.14",731.5,1198194,1.0262413828679018,-2.1820944066474066,1.0211921453418822,-2.184105025945704,32.83095601985487
87,BC,57.791,-124.1227,"57.791,-124.1227",2000-07-03,10.0,MILE 371 ALASKA HWY,BC,58.39,-124.08,"58.39,-124.08",758.0,1195ABR,1.008643228020043,-2.1663497914651657,1.0190977502394891,-2.165604535874564,66.61117563904149
88,BC,58.9893,-125.279,"58.9893,-125.279",2001-06-20,0.7,MUNCHO LAKE,BC,58.5548004,-125.4600003,"58.5548004,-125.4600003",836.5,1195250,1.029557508446691,-2.1865310336059762,1.0219740598280926,-2.1896900847880736,49.3969798123125
89,BC,57.1834,-123.3202,"57.1834,-123.3202",2000-10-13,0.2,MINAKER RIVER,BC,57.51,-123.02,"57.51,-123.02",625.3,1195165,0.9980386074849255,-2.152343524217911,1.0037388528219389,-2.1471040458034243,40.51155356474272
90,BC,57.8333,-124.0,"57.8333,-124.0",2000-10-09,30.0,MILE 371 ALASKA HWY,BC,58.39,-124.08,"58.39,-124.08",758.0,1195ABR,1.0093815022936365,-2.1642082724729685,1.0190977502394891,-2.165604535874564,62.041339008121696
91,BC,57.8587,-131.3424,"57.8587,-131.3424",2000-04-30,3.4,TELEGRAPH CREEK,BC,57.54,-131.2,"57.54,-131.2",249.9,1208041,1.0098248159236431,-2.2923573274714,1.0042624515975371,-2.28987197861656,36.41102596641519
92,BC,57.8562,-131.4195,"57.8562,-131.4195",2003-07-30,0.009,TELEGRAPH CREEK,BC,57.54,-131.2,"57.54,-131.2",249.9,1208041,1.0097811826923433,-2.293702976324688,1.0042624515975371,-2.28987197861656,37.47744466692702
93,BC,58.4581,-129.9967,"58.4581,-129.9967",2001-05-24,0.3,DEASE LAKE,BC,58.2542006,-130.0038004,"58.2542006,-130.0038004",806.6,1192340,1.0202863194600973,-2.2688704317273127,1.0167276035872561,-2.268994357085521,22.66212499489524
94,BC,57.9077,-131.2217,"57.9077,-131.2217",2000-05-11,0.3,TELEGRAPH CREEK,BC,57.54,-131.2,"57.54,-131.2",249.9,1208041,1.0106800272571204,-2.2902507150642433,1.0042624515975371,-2.28987197861656,40.8809890287876
95,BC,57.6838,-130.105,"57.6838,-130.105",2001-09-20,0.009,ISKUT RANCH,BC,57.52,-130.01,"57.52,-130.01",854.0,1203672,1.006772235061905,-2.2707606233072224,1.0039133857471385,-2.269102560517828,19.060896793541083
96,BC,57.65,-128.15,"57.65,-128.15",2000-06-02,9000.0,HYLAND POST,BC,57.39,-128.1,"57.39,-128.1",1066.8,1203640,1.006182313774731,-2.2366394364307336,1.0016444577195458,-2.235766771804736,29.046184347119887
97,BC,57.2592,-125.1378,"57.2592,-125.1378",2000-08-02,6.0,WARE,BC,57.26,-125.38,"57.26,-125.38",777.2,1188696,0.9993615670579371,-2.18406662870216,0.9993755296919531,-2.18829381615049,14.556529626536545
98,BC,58.3512,-126.1527,"58.3512,-126.1527",2000-07-31,5.0,MUNCHO LAKE,BC,58.5548004,-125.4600003,"58.5548004,-125.4600003",836.5,1195250,1.0184205624897151,-2.2017799752806506,1.0219740598280926,-2.1896900847880736,46.19360561000901
99,BC,56.8515,-120.5913,"56.8515,-120.5913",2001-05-11,0.1,PRESPATOU,BC,56.55,-121.02,"56.55,-121.02",684.9,1186428,0.9922458596975563,-2.104715234260238,0.9869836920027933,-2.1121974607635376,42.50387240753445
100,BC,57.109,-120.0673,"57.109,-120.0673",2001-07-08,0.1,BASNETT,AB,57.22,-119.49,"57.22,-119.49",760.0,3070NLN,0.9967400825214416,-2.0955697089797876,0.9986773979911554,-2.0854939232080243,36.907452989379856
101,BC,57.2513,-121.052,"57.2513,-121.052",2001-07-12,0.5,BEATTON RIVER A,BC,57.23,-121.23,"57.23,-121.23",839.7,1180750,0.9992236860470296,-2.1127559661241757,0.9988519309163547,-2.115862652192726,10.961927092951644
102,BC,57.6268,-120.8208,"57.6268,-120.8208",2000-06-28,0.1,BEATTON RIVER A,BC,57.23,-121.23,"57.23,-121.23",839.7,1180750,1.0057773973882684,-2.108720764893565,0.9988519309163547,-2.115862652192726,50.4339054537136
103,BC,57.5388,-120.7777,"57.5388,-120.7777",2000-06-28,0.2,BEATTON RIVER A,BC,57.23,-121.23,"57.23,-121.23",839.7,1180750,1.0042415076465134,-2.1079685279859555,0.9988519309163547,-2.115862652192726,43.720279216826896
104,BC,57.4872,-120.3377,"57.4872,-120.3377",2001-05-14,0.4,BASNETT,AB,57.22,-119.49,"57.22,-119.49",760.0,3070NLN,1.0033409177524841,-2.1002890792771804,0.9986773979911554,-2.0854939232080243,58.85519599065339
105,BC,56.64,-120.23,"56.64,-120.23",2000-06-02,1477.6,ROSE PRAIRIE,BC,56.39,-120.46,"56.39,-120.46",670.6,1186868,0.9885544883295883,-2.0984093596727824,0.9841911651996025,-2.102423616952369,31.15512985886717
106,BC,56.8833,-121.95,"56.8833,-121.95",2001-05-02,0.009,PINK MOUNTAIN,BC,57.0,-122.22,"57.0,-122.22",1204.0,1186172,0.9928008743996904,-2.128429022807085,0.9948376736367679,-2.1331414117874696,20.88179683146887
107,BC,56.4055,-121.1463,"56.4055,-121.1463",2001-05-02,0.3,PRESPATOU,BC,56.55,-121.02,"56.55,-121.02",684.9,1186428,0.9844616912336616,-2.1144018116088064,0.9869836920027933,-2.1121974607635376,17.830427229904146
108,BC,56.5797,-121.416,"56.5797,-121.416",2001-05-13,0.1,WONOWON,BC,56.44,-121.48,"56.44,-121.48",914.4,1188973,0.9875020547906357,-2.119108964601435,0.9850638298255996,-2.1202259753227115,16.012515595903267
109,BC,56.3397,-121.087,"56.3397,-121.087",2001-05-15,0.15,CHARLIE LAKE,BC,56.17516,-121.00594,"56.17516,-121.00594",753.0,11814FR,0.9833132645858493,-2.1133668313623737,0.9804414998346178,-2.1119520674707073,18.956759367180993
110,BC,56.5388,-122.365,"56.5388,-122.365",2001-05-21,4.0,HALFWAY RIVER,BC,56.44,-122.35,"56.44,-122.35",670.6,118CCB1,0.98678821512657,-2.1356721392028613,0.9850638298255996,-2.135410339815062,11.017661844501935
111,BC,56.8553,-121.2728,"56.8553,-121.2728",2000-04-19,4.0,BEATTON RIVER,BC,57.13,-121.28,"57.13,-121.28",807.7,1180749,0.9923121822091321,-2.1166096531125795,0.9971066016643605,-2.116735316818723,30.529180020659915
